! azimuth/altitude grid; # points = 150
 
! azimuth   altitude
!  (deg)      (deg)
    89.08     40.80
   100.23     46.24
   180.39     62.70
   142.51     71.15
    86.55     76.10
   143.81     58.10
   -34.46     28.28
   -82.04     58.16
   -44.33     51.57
   -54.86     20.64
   -65.68     28.78
   135.39     50.24
    58.94     67.68
     3.81     43.41
   -18.58     21.92
    42.00     21.27
    53.09     48.68
    29.98     74.91
    71.32     77.74
   137.61     20.17
    87.09     31.19
   147.00     30.39
    17.25     27.84
   -62.83     37.93
   120.05     55.88
   187.90     31.76
   169.09     21.50
   198.84     37.19
   211.72     53.91
   223.54     48.97
     3.49     56.62
   -29.48     21.09
     9.61     66.08
     8.92     32.62
    26.86     33.25
    32.41     21.67
   220.28     75.05
   182.46     54.03
   136.16     33.41
   -44.50     20.91
    -4.56     37.41
   -33.63     62.23
   -13.41     63.81
   -44.88     80.40
   -32.24     39.18
   -54.13     43.39
   -22.53     32.49
   -32.69     47.90
    -9.34     74.07
    27.87     85.99
    94.39     20.52
    98.90     29.54
   160.19     64.57
   172.62     45.59
   174.77     30.43
   146.48     20.03
   159.65     20.05
    62.46     25.79
    27.04     42.21
    21.10     20.05
    67.32     83.66
    64.23     38.23
   101.99     58.00
    34.19     76.02
   -18.45     43.57
    88.11     67.70
   109.55     32.84
    66.68     48.15
    15.27     41.06
     6.84     20.59
   129.89     80.95
   158.73     31.02
   243.65     67.54
     7.19     82.55
   109.17     72.25
    86.78     52.90
    35.06     53.34
  -109.07     31.29
   115.43     83.80
    50.02     38.47
   116.82     40.37
   167.08     37.25
   178.02     20.53
   210.74     41.56
   233.49     54.75
   270.12     42.16
   285.59     40.91
   228.29     31.09
   187.38     22.01
   217.77     64.45
   200.24     61.15
   262.09     30.13
   234.39     40.00
   145.80     41.69
   215.61     85.21
   292.75     66.87
   161.54     54.18
    83.66     20.89
   195.25     26.33
   227.20     20.12
   202.69     21.16
   -10.92     29.66
    51.95     58.86
    73.40     29.90
   112.97     48.23
   132.97     83.71
    51.88     29.82
    -6.81     20.01
    40.09     44.73
     0.29     28.02
   -52.06     60.35
   -39.51     70.57
   213.33     20.35
   126.79     20.42
   -22.30     53.37
   -63.97     20.68
   -78.24     49.69
   -86.62     75.36
   -53.47     84.20
   -88.87     32.03
   -76.96     31.07
   -44.38     36.61
    39.20     31.71
    52.37     20.44
    20.38     51.21
    33.45     64.29
    -6.61     48.53
   -52.85     30.73
   185.05     41.00
   197.99     83.59
    72.05     59.90
   209.10     29.77
   221.99     39.29
   244.64     45.37
   238.57     30.60
   256.17     40.50
   185.32     76.20
   235.48     20.45
   157.76     45.00
   129.21     41.73
    75.07     41.18
  -107.20     82.47
   -99.26     51.61
   -69.41     37.56
    71.42     20.15
  -107.20     82.47
   126.80     64.17
   297.08     52.78
   219.39     26.73
   107.90     20.57
   -93.13     66.00
  -110.56     58.85
   -29.49     76.16
   179.45     73.64
   197.80     48.38
