! azimuth/altitude grid; # points =          20

! azimuth	altitude
!  (deg) 	  (deg)
  -65.00           25.00
  -46.67           43.33
  -28.33           61.67
  -20.00           25.00
  -10.00           80.00
   25.00           25.00
   13.33           43.33
   61.67           61.67
   70.00           25.00
   73.33           43.33
  115.00           25.00
  133.33           43.33
  151.67           61.67
  160.00           25.00
  170.00           80.00
  205.00           25.00
  193.33           43.33
  241.67           61.67
  250.00           25.00
  253.33           43.33
